weather,temperature,humidity,pressure
Overcast,13.2833333333333,0.63,1007.26
Overcast,8.63333333333333,0.87,1005.1
Overcast,11.25,0.83,1007.01
Overcast,11.1833333333333,0.89,1006.73
Overcast,10.6944444444444,0.95,1006.59
Mostly Cloudy,11.1111111111111,0.93,1006.34
Mostly Cloudy,11.1111111111111,0.93,1006.09
Partly Cloudy,12.1666666666667,0.82,1005.97
Partly Cloudy,12.7555555555556,0.79,1005.63
Partly Cloudy,13.8388888888889,0.84,1005.83
Partly Cloudy,16.1833333333333,0.73,1005.97
Mostly Cloudy,17.5166666666667,0.67,1005.64
Mostly Cloudy,17.3833333333333,0.67,1005.2
Mostly Cloudy,17.3611111111111,0.71,1005.1
Mostly Cloudy,17.2055555555556,0.74,1004.65
Mostly Cloudy,15.6333333333333,0.81,1004.04
Overcast,13.5777777777778,0.9,1004.08
Foggy,10.9111111111111,0.86,1004.61
Foggy,8.8,0.99,1004.99
Overcast,8.96111111111111,0.93,1004.85
Overcast,8.2,0.96,1004.96
Overcast,7.68888888888889,0.96,1005.14
Overcast,7.76666666666666,0.96,1005.05
Foggy,8.2,0.96,1004.8
Foggy,8.17777777777778,0.93,1004.89
Mostly Cloudy,7.31111111111111,0.82,1007
Overcast,7.64444444444444,0.93,1004.3
Overcast,6.62222222222222,0.93,1003.68
Overcast,6.68333333333333,0.93,1003.86
Overcast,6.08888888888889,0.93,1003.57
Overcast,6.06666666666667,0.93,1003.96
Breezy and Mostly Cloudy,6.14444444444445,0.93,1004.1
Breezy and Mostly Cloudy,7.13333333333334,0.8,1004.26
Overcast,7.20555555555556,0.86,1004.18
Mostly Cloudy,7.56666666666667,0.84,1004.23
Mostly Cloudy,8.9,0.77,1004.47
Mostly Cloudy,9.96111111111111,0.71,1004.52
Mostly Cloudy,9.88888888888889,0.71,1004.29
Mostly Cloudy,11.0666666666667,0.71,1003.93
Overcast,10.1166666666667,0.76,1004
Overcast,11.0388888888889,0.66,1004.3
Overcast,10.65,0.7,1004
Overcast,10.05,0.7,1004.39
Mostly Cloudy,9.9,0.66,1005.48
Overcast,8.79444444444444,0.71,1005.89
Mostly Cloudy,7.82777777777778,0.72,1006.37
Overcast,7.85555555555556,0.72,1006.56
Mostly Cloudy,7.31666666666667,0.75,1007.07
Overcast,7.24444444444444,0.75,1007.37
Partly Cloudy,5.43888888888889,0.88,1012.23
Overcast,7.2,0.76,1007.28
Overcast,6.68888888888889,0.7,1007.18
Overcast,6.21111111111111,0.73,1007.39
Overcast,6.11111111111111,0.76,1007.67
Overcast,6.11111111111111,0.76,1007.98
Overcast,6.17222222222222,0.76,1008.57
Overcast,7.22222222222222,0.71,1008.87
Overcast,7.28888888888889,0.73,1009.44
Overcast,7.40555555555556,0.72,1010.03
Overcast,7.96111111111111,0.7,1010.22
Overcast,8.03333333333334,0.7,1010.39
Overcast,9.07777777777778,0.65,1010.24
Overcast,9.05,0.62,1010
Overcast,9.05,0.65,1009.98
Overcast,9.18333333333333,0.65,1010.05
Overcast,9.07222222222222,0.7,1010.1
Overcast,7.98333333333333,0.75,1010.39
Overcast,8.07222222222222,0.75,1010.91
Overcast,7.89444444444445,0.82,1011.32
Overcast,7.31111111111111,0.83,1011.61
Mostly Cloudy,7.33888888888889,0.84,1011.97
Mostly Cloudy,6.62222222222222,0.85,1012.22
Partly Cloudy,6.06666666666667,0.88,1012.74
Partly Cloudy,8.33888888888889,0.88,1015.35
Mostly Cloudy,5.18333333333333,0.91,1013.29
Mostly Cloudy,3.72222222222222,0.94,1013.39
Mostly Cloudy,4.85555555555556,0.93,1013.45
Foggy,5.21111111111111,0.92,1013.4
Overcast,6.25555555555555,0.92,1013.81
Mostly Cloudy,7.79444444444445,0.87,1014.7
Mostly Cloudy,10.05,0.76,1014.67
Mostly Cloudy,12.2,0.66,1014.66
Mostly Cloudy,12.7,0.63,1014.8
Partly Cloudy,13.9333333333333,0.58,1014.47
Partly Cloudy,15.0944444444444,0.59,1014.16
Mostly Cloudy,15.15,0.5,1014.07
Partly Cloudy,16.1777777777778,0.44,1013.34
Partly Cloudy,16.25,0.55,1012.72
Partly Cloudy,16.2944444444444,0.5,1012.38
Partly Cloudy,16.1,0.56,1012.38
Partly Cloudy,12.9555555555556,0.68,1012.72
Mostly Cloudy,13.85,0.64,1013.42
Mostly Cloudy,12.7777777777778,0.69,1014.41
Mostly Cloudy,12.15,0.72,1014.89
Mostly Cloudy,10.6777777777778,0.81,1014.91
Mostly Cloudy,10.4444444444444,0.83,1014.75
Mostly Cloudy,9.82222222222222,0.8,1015.55
Mostly Cloudy,11.0277777777778,0.74,1015.7
Mostly Cloudy,7.13888888888889,0.93,1016.43
Mostly Cloudy,7.62222222222222,0.89,1016.56
Mostly Cloudy,7.62777777777778,0.86,1017.15
Mostly Cloudy,7.04444444444444,0.86,1017.37
Partly Cloudy,8.6,0.84,1018.25
Partly Cloudy,9.65,0.84,1019.24
Partly Cloudy,12.1055555555556,0.72,1019.83
Partly Cloudy,12.7777777777778,0.71,1020.51
Partly Cloudy,13.8111111111111,0.65,1020.91
Partly Cloudy,16.0166666666667,0.48,1020.6
Partly Cloudy,17.1277777777778,0.47,1020.39
Partly Cloudy,17.1444444444444,0.43,1020.34
Mostly Cloudy,17.7777777777778,0.4,1019.7
Mostly Cloudy,17.7777777777778,0.37,1018.89
Mostly Cloudy,17.8055555555556,0.43,1018.48
Mostly Cloudy,16.1555555555556,0.52,1017.87
Mostly Cloudy,14.05,0.63,1017.56
Mostly Cloudy,13.0888888888889,0.67,1017.38
Mostly Cloudy,12.2888888888889,0.72,1017.58
Overcast,12.7777777777778,0.66,1017.65
Overcast,12.7277777777778,0.67,1017.36
Overcast,12.2666666666667,0.69,1016.8
Overcast,11.7111111111111,0.71,1016.64
Partly Cloudy,10.8277777777778,0.86,1013.13
Overcast,12.2,0.59,1014.79
Overcast,12.2,0.6,1014.25
Overcast,11.6888888888889,0.68,1013.95
Overcast,11.2055555555556,0.77,1013.63
Mostly Cloudy,11.1333333333333,0.77,1013.27
Mostly Cloudy,11.4388888888889,0.77,1013.56
Mostly Cloudy,13.0333333333333,0.81,1012.85
Mostly Cloudy,17.2444444444444,0.62,1012.15
Mostly Cloudy,17.7388888888889,0.53,1011.71
Overcast,17.8444444444445,0.56,1011.28
Mostly Cloudy,18.8611111111111,0.56,1010.99
Overcast,18.6666666666667,0.56,1010.93
Overcast,17.8222222222222,0.56,1010.7
Overcast,17.8,0.59,1010.52
Mostly Cloudy,17.35,0.57,1010.69
Mostly Cloudy,16.0666666666667,0.67,1010.86
Mostly Cloudy,14.9333333333333,0.73,1011.14
Mostly Cloudy,13.9222222222222,0.78,1011.64
Mostly Cloudy,12.7555555555556,0.84,1012.02
Mostly Cloudy,12.7555555555556,0.84,1012.21
Mostly Cloudy,12.3722222222222,0.86,1012.33
Mostly Cloudy,11.1833333333333,0.93,1012.6
Mostly Cloudy,11.6666666666667,0.9,1012.8
Partly Cloudy,8.97777777777778,0.95,1012.66
Mostly Cloudy,10.5777777777778,0.93,1012.32
Mostly Cloudy,10.5333333333333,0.89,1012.33
Mostly Cloudy,10.5888888888889,0.87,1012.55
Mostly Cloudy,9.98333333333333,0.89,1012.71
Mostly Cloudy,11.0222222222222,0.86,1013.01
Partly Cloudy,13.5388888888889,0.75,1013.23
Partly Cloudy,13.8888888888889,0.68,1013.31
Partly Cloudy,15,0.67,1013.4
Partly Cloudy,17.1833333333333,0.57,1013.27
Mostly Cloudy,16.2,0.62,1013.02
Mostly Cloudy,17.75,0.56,1013.03
Mostly Cloudy,18.4055555555556,0.54,1012.55
Partly Cloudy,17.8222222222222,0.59,1012.03
Partly Cloudy,17.3111111111111,0.57,1011.81
Partly Cloudy,17.5055555555556,0.55,1011.33
Mostly Cloudy,17.2666666666667,0.54,1011.2
Mostly Cloudy,15.1388888888889,0.61,1011.5
Mostly Cloudy,13.25,0.69,1011.76
Partly Cloudy,12.2944444444444,0.72,1012.01
Partly Cloudy,10.7,0.79,1012.31
Partly Cloudy,9.85555555555556,0.85,1012.51
Partly Cloudy,9.52222222222222,0.88,1012.52
Partly Cloudy,8.40555555555556,0.92,1012.61
Mostly Cloudy,13.0111111111111,0.82,1011.27
Partly Cloudy,7.73333333333333,0.96,1012.54
Partly Cloudy,6.13888888888889,0.96,1012.44
Partly Cloudy,6.47222222222222,0.95,1012.62
Foggy,6.62777777777778,0.96,1012.75
Clear,8.68888888888889,0.93,1012.96
Partly Cloudy,11.9944444444444,0.81,1013.38
Partly Cloudy,13.7666666666667,0.78,1013.14
Partly Cloudy,15.0888888888889,0.77,1013.33
Partly Cloudy,16.4555555555556,0.68,1013.56
Partly Cloudy,17.3111111111111,0.62,1013.61
Partly Cloudy,17.8722222222222,0.64,1013.11
Partly Cloudy,19.0388888888889,0.47,1012.69
Partly Cloudy,18.9777777777778,0.51,1012.2
Partly Cloudy,19.0055555555555,0.55,1011.7
Mostly Cloudy,19.0111111111111,0.53,1011.4
Mostly Cloudy,17.8666666666667,0.64,1011.32
Mostly Cloudy,17.2666666666667,0.62,1011.23
Mostly Cloudy,16.1888888888889,0.61,1011.5
Mostly Cloudy,14.8833333333333,0.72,1012.05
Mostly Cloudy,14.3277777777778,0.75,1012.15
Overcast,14.5111111111111,0.75,1012.09
Overcast,14.3722222222222,0.75,1011.83
Overcast,14.8777777777778,0.72,1011.45
Foggy,10.4055555555556,0.92,1012.05
Overcast,12.8222222222222,0.83,1011.18
Overcast,12.8,0.85,1010.07
Overcast,12.8277777777778,0.86,1009.83
Overcast,12.2666666666667,0.85,1009.8
Overcast,12.2666666666667,0.85,1009.99
Mostly Cloudy,12.1833333333333,0.82,1010.21
Overcast,12.1722222222222,0.8,1010.41
Overcast,12.7111111111111,0.83,1010.33
Mostly Cloudy,15.6055555555556,0.78,1010.43
Mostly Cloudy,16.0222222222222,0.78,1010.29
Mostly Cloudy,17.2,0.67,1010.1
Overcast,17.2166666666667,0.71,1009.96
Mostly Cloudy,17.8277777777778,0.69,1009.86
Mostly Cloudy,17.8277777777778,0.69,1009.47
Partly Cloudy,17.7333333333333,0.69,1009.63
Mostly Cloudy,16.2722222222222,0.71,1009.39
Overcast,13.1666666666667,0.93,1011.07
Overcast,13.2555555555556,0.93,1011.23
Overcast,13.0111111111111,0.93,1011.35
Mostly Cloudy,12.4555555555556,0.91,1011.67
Mostly Cloudy,12.4888888888889,0.9,1011.76
Mostly Cloudy,9.55555555555556,0.8,1015.68
Mostly Cloudy,10.6222222222222,0.79,1015.41
Partly Cloudy,8.72222222222222,0.93,1014.98
Mostly Cloudy,10.5333333333333,0.77,1015.18
Mostly Cloudy,9.44444444444444,0.83,1014.7
Mostly Cloudy,9.88888888888889,0.83,1014.64
Mostly Cloudy,10.3666666666667,0.78,1014.31
Partly Cloudy,8.88888888888889,0.89,1014.63
Partly Cloudy,9.97777777777778,0.84,1014.82
Mostly Cloudy,12.2,0.73,1014.82
Mostly Cloudy,13.9611111111111,0.67,1015
Mostly Cloudy,14.9444444444444,0.67,1014.9
Mostly Cloudy,16.1833333333333,0.71,1014.35
Partly Cloudy,16.3666666666667,0.61,1014.51
Partly Cloudy,17.3722222222222,0.57,1014.32
Partly Cloudy,17.6722222222222,0.51,1013.93
Partly Cloudy,17.7222222222222,0.53,1013.45
Partly Cloudy,16.2388888888889,0.61,1013.43
Mostly Cloudy,14.0666666666667,0.71,1013.58
Partly Cloudy,13.9555555555556,0.76,1013.24
Partly Cloudy,12.2888888888889,0.8,1013.7
Partly Cloudy,10.0222222222222,0.86,1014.14
Partly Cloudy,9.37777777777778,0.86,1014.34
Partly Cloudy,9.41666666666667,0.9,1014.6
Partly Cloudy,11.8277777777778,0.92,1011.68
Foggy,10.7611111111111,0.91,1011.98
Mostly Cloudy,12.1555555555556,0.95,1015.64
Foggy,9.67222222222222,0.94,1012.26
Foggy,8.15,0.94,1012.63
Foggy,10.2,0.95,1012.62
Foggy,10.1166666666667,0.99,1012.85
Foggy,10.1611111111111,0.99,1013.61
Foggy,11.2444444444444,0.98,1013.9
Foggy,12.2444444444444,0.99,1014.31
Overcast,13.9111111111111,0.92,1014.43
Partly Cloudy,15.6166666666667,0.82,1014.73
Partly Cloudy,15.0722222222222,0.86,1014.92
Partly Cloudy,15.0722222222222,0.82,1014.73
Overcast,14.2666666666667,0.87,1014.92
Mostly Cloudy,16.0166666666667,0.81,1014.76
Overcast,15.0277777777778,0.86,1014.37
Overcast,13.9444444444444,0.89,1014.83
Overcast,12.9166666666667,0.95,1015.11
Overcast,12.8944444444444,0.95,1015.14
Overcast,12.4,0.98,1015.5
Clear,12.2666666666667,0.99,1015.76
Mostly Cloudy,12.2222222222222,0.96,1016.35
Mostly Cloudy,11.25,0.96,1016.38
Mostly Cloudy,11.5277777777778,0.96,1016.43
Foggy,11.5388888888889,0.96,1016.56
Foggy,9.43888888888889,0.96,1017.23
Overcast,11.4388888888889,0.96,1016.17
Overcast,11.3944444444444,0.96,1016.25
Overcast,11.5277777777778,0.96,1016.13
Foggy,11.95,0.93,1016.17
Foggy,11.9722222222222,1,1016.45
Foggy,12.6333333333333,0.96,1016.94
Overcast,12.7555555555556,0.96,1017.06
Overcast,13.8444444444444,0.9,1017.45
Overcast,13.1722222222222,0.94,1017.77
Mostly Cloudy,15.0666666666667,0.86,1017.73
Partly Cloudy,17.2444444444444,0.75,1017.53
Partly Cloudy,16.3166666666667,0.76,1017.31
Partly Cloudy,17.3833333333333,0.74,1016.82
Mostly Cloudy,15.2722222222222,0.76,1016.6
Partly Cloudy,17.4555555555556,0.72,1016.39
Partly Cloudy,16.2222222222222,0.77,1016.33
Partly Cloudy,15.0833333333333,0.82,1016.52
Partly Cloudy,13.9944444444444,0.88,1016.81
Partly Cloudy,12.1722222222222,0.92,1017.34
Foggy,11.0888888888889,0.95,1017.54
Foggy,11.0944444444444,0.95,1017.43
Foggy,9.88333333333333,0.96,1017.65
Clear,9.35555555555556,0.96,1017.56
Clear,9.86111111111111,0.96,1016.16
Foggy,8.27222222222222,0.99,1017.16
Foggy,8.86666666666667,0.96,1017.15
Foggy,8.81666666666667,0.96,1017.28
Foggy,7.15555555555556,1,1017.15
Foggy,8.85,0.99,1017.36
Foggy,11.1777777777778,0.93,1017.7
Mostly Cloudy,12.3888888888889,0.98,1017.72
Mostly Cloudy,14.1444444444444,0.88,1017.82
Partly Cloudy,17.1,0.72,1017.77
Partly Cloudy,18.9388888888889,0.64,1017.3
Partly Cloudy,17.9166666666667,0.68,1016.9
Partly Cloudy,19.9833333333333,0.53,1016.4
Partly Cloudy,20.0722222222222,0.62,1015.9
Partly Cloudy,20.0722222222222,0.56,1015.29
Partly Cloudy,20.0833333333333,0.58,1014.9
Partly Cloudy,19.0888888888889,0.63,1014.68
Partly Cloudy,17.45,0.62,1014.78
Partly Cloudy,15.5666666666667,0.74,1015.04
Clear,12.4944444444444,0.91,1015.51
Clear,12.2444444444444,0.89,1015.72
Clear,11.4166666666667,0.92,1015.79
Clear,10.5555555555556,0.95,1015.83
Clear,10.4666666666667,0.93,1015.95
Partly Cloudy,10.25,0.95,1017.13
Clear,9.35555555555556,0.96,1015.82
Foggy,8.31111111111111,0.96,1015.82
Foggy,8.81111111111111,0.96,1015.89
Foggy,8.73333333333333,0.93,1015.83
Partly Cloudy,11.9333333333333,0.93,1016.12
Partly Cloudy,14.5166666666667,0.84,1016.23
Partly Cloudy,18.7333333333333,0.68,1016.23
Partly Cloudy,20.0277777777778,0.6,1016.38
Partly Cloudy,21.0388888888889,0.55,1016.66
Partly Cloudy,20.7388888888889,0.46,1016.58
Partly Cloudy,22.3166666666667,0.48,1016.27
Partly Cloudy,22.1111111111111,0.5,1015.96
Partly Cloudy,22.7333333333333,0.38,1015.34
Partly Cloudy,22.7777777777778,0.37,1014.7
Partly Cloudy,21.2166666666667,0.41,1015.2
Partly Cloudy,20.1833333333333,0.45,1014.87
Partly Cloudy,18.0111111111111,0.68,1014.78
Partly Cloudy,17.4222222222222,0.65,1015.54
Partly Cloudy,13.9611111111111,0.82,1016.01
Partly Cloudy,13.2888888888889,0.89,1016.52
Partly Cloudy,12.3222222222222,0.89,1016.96
Partly Cloudy,11.1166666666667,0.95,1017.04
Partly Cloudy,10.5333333333333,0.95,1017.33
Clear,12.3833333333333,0.8,1019.59
Partly Cloudy,9.86111111111111,0.96,1017.25
Partly Cloudy,8.87222222222222,0.95,1017.42
Partly Cloudy,8.67222222222222,0.94,1017.74
Foggy,7.68888888888889,1,1018.13
Clear,10.9111111111111,0.99,1018.62
Clear,14.8388888888889,0.82,1019.08
Clear,18.8,0.65,1019.11
Clear,21.0944444444444,0.49,1019.5
Partly Cloudy,22.0277777777778,0.49,1019.86
Partly Cloudy,22.8277777777778,0.47,1019.79
Partly Cloudy,22.9166666666667,0.37,1019.47
Partly Cloudy,23.9166666666667,0.37,1019.25
Partly Cloudy,23.9111111111111,0.4,1018.89
Partly Cloudy,23.9333333333333,0.37,1018.6
Partly Cloudy,23.9166666666667,0.32,1018.67
Partly Cloudy,22.8222222222222,0.44,1018.59
Partly Cloudy,21.2277777777778,0.48,1018.67
Partly Cloudy,19.0777777777778,0.51,1019.22
Partly Cloudy,17.0611111111111,0.63,1019.88
Clear,14.9055555555556,0.72,1019.91
Clear,13.0833333333333,0.87,1020.02
Clear,12.7111111111111,0.89,1020.11
Clear,12.1277777777778,0.89,1020.12
Clear,11.8111111111111,0.84,1018.38
Clear,12.0166666666667,0.8,1019.91
Clear,12.0444444444444,0.8,1020.03
Partly Cloudy,10.6277777777778,0.86,1020.39
Clear,9.91111111111111,0.99,1020.6
Mostly Cloudy,12.5555555555556,0.9,1020.81
Partly Cloudy,15.0055555555556,0.78,1021.01
Partly Cloudy,17.3388888888889,0.74,1020.94
Partly Cloudy,19.1,0.67,1020.66
Partly Cloudy,21.2611111111111,0.57,1020.53
Partly Cloudy,22.4111111111111,0.54,1020.16
Mostly Cloudy,22.9388888888889,0.5,1019.95
Mostly Cloudy,23.9277777777778,0.47,1019.43
Mostly Cloudy,23.9611111111111,0.47,1018.97
Mostly Cloudy,23.9611111111111,0.38,1018.28
Mostly Cloudy,23.1111111111111,0.42,1017.97
Mostly Cloudy,22.8222222222222,0.44,1017.68
Mostly Cloudy,21.1111111111111,0.47,1017.89
Mostly Cloudy,18.1888888888889,0.58,1017.96
Mostly Cloudy,16.0166666666667,0.72,1018.31
Partly Cloudy,15.4666666666667,0.72,1018.6
Partly Cloudy,14.6055555555556,0.76,1018.65
Clear,13.3111111111111,0.82,1018.44
Clear,12.7333333333333,0.83,1018.23
Partly Cloudy,13.7888888888889,0.77,1014.58
Partly Cloudy,10.5777777777778,0.88,1018.11
Partly Cloudy,10.4833333333333,0.92,1017.73
Partly Cloudy,10.2888888888889,0.91,1017.7
Clear,9.97222222222222,0.92,1017.62
Mostly Cloudy,13.6388888888889,0.9,1017.54
Mostly Cloudy,16.7388888888889,0.74,1017.7
Mostly Cloudy,18.8388888888889,0.65,1017.78
Mostly Cloudy,21.1611111111111,0.59,1017.3
Mostly Cloudy,22.5888888888889,0.53,1017.19
Mostly Cloudy,22.8944444444444,0.48,1016.68
Mostly Cloudy,24.0055555555555,0.47,1016.08
Mostly Cloudy,24.0055555555555,0.35,1015.62
Mostly Cloudy,23.9777777777778,0.44,1014.86
Mostly Cloudy,25.0444444444444,0.32,1013.97
Mostly Cloudy,24.0777777777778,0.35,1013.39
Mostly Cloudy,22.3833333333333,0.45,1013.18
Mostly Cloudy,21.2055555555556,0.52,1013.21
Mostly Cloudy,18.2611111111111,0.62,1013.75
Mostly Cloudy,17.2,0.67,1014.13
Partly Cloudy,15.9944444444444,0.75,1014.13
Clear,15.9611111111111,0.79,1014.06
Mostly Cloudy,15.4444444444444,0.72,1013.92
Partly Cloudy,14.3722222222222,0.75,1013.82
Mostly Cloudy,13.6055555555556,0.9,1012.67
Partly Cloudy,12.8222222222222,0.82,1013.04
Partly Cloudy,12.75,0.83,1013.03
Partly Cloudy,11.4166666666667,0.92,1012.98
Partly Cloudy,12.3333333333333,0.86,1012.83
Mostly Cloudy,14.9055555555556,0.78,1013.03
Mostly Cloudy,15.8944444444444,0.74,1013.13
Mostly Cloudy,17.2277777777778,0.72,1013.13
Mostly Cloudy,17.8277777777778,0.73,1013.1
Mostly Cloudy,17.9166666666667,0.72,1013.17
Mostly Cloudy,19.0555555555556,0.67,1013
Mostly Cloudy,20.1444444444444,0.67,1012.69
Mostly Cloudy,20.2611111111111,0.62,1012.54
Mostly Cloudy,21.2055555555556,0.62,1011.87
Overcast,21.2555555555556,0.67,1011.19
Overcast,20.2333333333333,0.66,1011.17
Overcast,19.0777777777778,0.71,1011.08
Mostly Cloudy,17.9444444444444,0.77,1011.28
Mostly Cloudy,15.4944444444444,0.82,1012.08
Mostly Cloudy,14.1444444444444,0.89,1012.64
Mostly Cloudy,14.5388888888889,0.86,1012.79
Mostly Cloudy,14.1388888888889,0.86,1012.79
Mostly Cloudy,13.4,0.9,1012.56
Mostly Cloudy,13.4277777777778,0.9,1012.8
Partly Cloudy,11.5888888888889,0.74,1009.9
Mostly Cloudy,14.4222222222222,0.83,1011.91
Mostly Cloudy,13.9166666666667,0.86,1011.72
Mostly Cloudy,13.4,0.9,1011.51
Overcast,13.8666666666667,0.9,1011.51
Mostly Cloudy,14.9055555555556,0.84,1011.6
Mostly Cloudy,15.9333333333333,0.74,1011.59
Mostly Cloudy,17.1277777777778,0.65,1011.41
Mostly Cloudy,18.75,0.58,1011.2
Mostly Cloudy,18.9611111111111,0.6,1011.25
Mostly Cloudy,19.9944444444444,0.54,1010.98
Mostly Cloudy,21.1111111111111,0.5,1010.48
Mostly Cloudy,21.0944444444444,0.46,1010.24
Partly Cloudy,21.1777777777778,0.43,1009.55
Partly Cloudy,21.2277777777778,0.41,1009.04
Partly Cloudy,20.1,0.45,1008.55
Mostly Cloudy,19.0277777777778,0.51,1008.17
Mostly Cloudy,17.85,0.59,1008.46
Mostly Cloudy,16.2611111111111,0.66,1008.94
Partly Cloudy,14.9833333333333,0.72,1009.55
Mostly Cloudy,14.4666666666667,0.65,1009.57
Partly Cloudy,13.9444444444444,0.6,1009.53
Partly Cloudy,12.3166666666667,0.65,1009.56
Partly Cloudy,11.7611111111111,0.66,1009.47
Mostly Cloudy,10.8277777777778,0.62,1011.18
Partly Cloudy,10.1388888888889,0.73,1009.25
Partly Cloudy,10.6277777777778,0.71,1008.87
Partly Cloudy,10.6055555555556,0.69,1008.82
Mostly Cloudy,10.0722222222222,0.71,1008.84
Mostly Cloudy,11.1611111111111,0.71,1009.07
Partly Cloudy,12.8888888888889,0.67,1009.23
Clear,15.05,0.6,1009.25
Mostly Cloudy,15.1611111111111,0.59,1009.44
Mostly Cloudy,16.2722222222222,0.56,1009.76
Mostly Cloudy,17.8,0.46,1009.34
Mostly Cloudy,17.9388888888889,0.46,1009.14
Mostly Cloudy,18.8555555555556,0.41,1009.01
Mostly Cloudy,17.9888888888889,0.43,1008.83
Mostly Cloudy,17.9611111111111,0.51,1008.43
Mostly Cloudy,17.3611111111111,0.47,1008.7
Mostly Cloudy,16.25,0.52,1009.03
Mostly Cloudy,14.1222222222222,0.47,1009.42
Mostly Cloudy,12.95,0.55,1010.18
Mostly Cloudy,12.2444444444444,0.52,1010.85
Mostly Cloudy,11.6888888888889,0.57,1011.08
Mostly Cloudy,11.1555555555556,0.59,1011.22
Partly Cloudy,9.21666666666667,0.9,1014.24
Partly Cloudy,8.68333333333333,0.9,1014.73
Mostly Cloudy,9.18888888888889,0.77,1013.46
Partly Cloudy,8.59444444444444,0.93,1014.81
Partly Cloudy,7.50555555555555,0.93,1014.35
Partly Cloudy,6.21666666666667,0.95,1014.42
Foggy,5.85555555555556,0.93,1014.35
Clear,5.93333333333333,1,1014.55
Clear,10.4055555555556,1,1014.91
Partly Cloudy,12.5444444444444,0.78,1014.44
Partly Cloudy,13.8611111111111,0.77,1014.52
Partly Cloudy,15.9777777777778,0.63,1014.75
Partly Cloudy,17.2666666666667,0.57,1014.41
Partly Cloudy,17.8444444444445,0.5,1014.02
Partly Cloudy,16.4277777777778,0.54,1013.55
Partly Cloudy,17.7777777777778,0.46,1013.02
Partly Cloudy,17.8444444444445,0.45,1011.95
Partly Cloudy,17.3,0.5,1012.11
Partly Cloudy,15.1833333333333,0.65,1012.13
Mostly Cloudy,13.0055555555556,0.7,1012.52
Mostly Cloudy,12.6944444444444,0.74,1013.08
Partly Cloudy,12.1944444444444,0.72,1013.35
Partly Cloudy,12.0833333333333,0.71,1013.19
Partly Cloudy,10.6166666666667,0.74,1013.54
Mostly Cloudy,11.6,0.57,1011.68
Mostly Cloudy,11.0222222222222,0.6,1011.79
Mostly Cloudy,11.8888888888889,0.6,1013.76
Mostly Cloudy,10.4166666666667,0.64,1011.39
Mostly Cloudy,10.3,0.67,1011.42
Mostly Cloudy,9.48333333333333,0.72,1011.65
Mostly Cloudy,9.77222222222222,0.68,1011.83
Mostly Cloudy,10.9333333333333,0.67,1012.42
Mostly Cloudy,11.6555555555556,0.66,1012.96
Mostly Cloudy,13.9388888888889,0.55,1012.97
Mostly Cloudy,15.0277777777778,0.54,1013.36
Mostly Cloudy,16.0388888888889,0.47,1013.41
